#n,B00_1399662250,B01_1399662250,B02_1399662250,B03_1399662250,B04_1399662250,B05_1399662250,B06_1399662250,B07_1399662250,B08_1399662250,B09_1399662250,B10_1399662250,B11_1399662250,B12_1399662250,B13_1399662250,B14_1399662250,B15_1399662250,B16_1399662250,B17_1399662250,B18_1399662250,B19_1399662250,B20_1399662250,B21_1399662250,B22_1399662250,B23_1399662250,B24_1399662250,B25_1399662250,B26_1399662250,B27_1399662250,B28_1399662250,B29_1399662250,B30_1399662250,B31_1399662250,B32_1399662250,B33_1399662250,B34_1399662250,B35_1399662250,B36_1399662250,B37_1399662250,B38_1399662250,B39_1399662250
0,0.01617832542931145,,0.008249805863226396,0.006551458549225516,0.006656391789147844,0.038456150831325954,0.014637749007285901,0.01388407755101587,0.008255788783023412,0.006941243268991992,0.013044873012342379,0.017778578844386373,0.021315098269855684,0.011653946476828934,0.018917750630617968,0.01417655110191499,0.009440786056863907,0.009074549959692106,0.010240989407622083,0.005186158364737469,0.010605289614285427,0.01307511433377704,0.012006668718801065,0.009491379255311117,0.012352584617546975,0.008049312659177606,0.009083974359629503,0.009065992559590867,0.005651460402084623,0.01147583920859063,0.008201346512409542,0.013689581548541649,0.009003085994316568,0.011068623269460719,0.0015621289255306214,0.006471395562580452,0.008038059588216677,0.00988650459220527,0.014275528202248955,0.02923152523386808
1,0.012985622834912473,,0.005483742047270985,0.005107226332824938,0.006175525110272518,0.03338284912149072,0.012790452651837035,0.014068677243842777,0.005576944482727817,0.004087685792553434,0.009970723418944763,0.014678737377675211,0.02094040316878773,0.00987811855229914,0.016919621089182345,0.010656419010436353,0.006920935563065228,0.006581648019675468,0.008819557531842243,0.007553941634930279,0.009818285857744503,0.010768944896785978,0.008757777678986256,0.007539985996512437,0.011110431852516893,0.008875698222819646,0.009520303928045716,0.006504015562575863,0.005629194030650279,0.009817407159091641,0.009097504145348784,0.01349879746281683,0.006981516585036837,0.008643375384797678,0.0035699824444384077,0.00791449183419298,0.00837962864330316,0.009844084818181368,0.012169687264135774,0.03186445106035526
2,0.01009130544454204,,0.0036515149617651795,0.0050316405267070465,0.006599879319454304,0.02781715141749327,0.01095034717130481,0.014420323083371194,0.00427692574139768,0.0023042638297900322,0.007515035112407621,0.011564506971872826,0.020681878549179362,0.008378557963131389,0.015158616031464758,0.007381144285281487,0.005269904101522725,0.005459187376034417,0.007952550270808293,0.010053462260496032,0.009111091836444358,0.008869657361900748,0.005827420810632555,0.006306590692885883,0.009828476067175636,0.009579555920084873,0.009510008698423465,0.004641988018763377,0.006412729270688413,0.008275364236019222,0.009584058979283024,0.012677502773201597,0.004912233588252456,0.0065452667265448,0.005269285056591121,0.00863554007925684,0.007924765529734661,0.00907810207911485,0.009647791007793834,0.03595995768671936
3,0.007902719352628363,,0.0027771684018988475,0.005400064785495756,0.007213409366513031,0.022087221393001958,0.009191251714340721,0.014757295813804739,0.005182338423691415,0.0027466666727222746,0.005797590564023095,0.0091225993217613,0.020721335560299762,0.008322022410078301,0.015105680663979756,0.004509932672941329,0.00441825391035984,0.005764861107594705,0.008032888994153522,0.012664673755701543,0.00796226112947129,0.007302733959844421,0.0031094689655184553,0.005794072731274314,0.008786967958720485,0.010084779383722075,0.009270649176115203,0.003461481817069778,0.00705818365078723,0.00674682807566343,0.009515256189447388,0.011274028270579606,0.002480033397622503,0.00521392264659558,0.006037415645899066,0.008050213289364724,0.006446985741659186,0.007606827467173346,0.0066372794358327755,0.04073991652428982
4,0.006649142387500164,,0.002214804851136372,0.005287580063119107,0.00745006803152622,0.016290041529697912,0.00748506300346776,0.015111575084696566,0.007579870547160418,0.003159394829406642,0.005002701169374473,0.007265610616689631,0.020637322334946147,0.011395889714295487,0.015372202992015253,0.0021075124913962242,0.004050977786451317,0.0063658805562746,0.008428402619753882,0.015949674828481978,0.006699475337652557,0.006449980787203912,0.0023275924632603874,0.005590511003866564,0.007746049903970295,0.010120534334650532,0.008760641852611854,0.0024465104462532204,0.007265507747162716,0.004847080165478308,0.008655755805400714,0.009140221311260202,0.0015158583831437792,0.0048139809404175666,0.005633759787428333,0.00639915187711017,0.004414139152485087,0.006359980602652431,0.0038480771621284566,0.04560795534629084
5,0.006228110550202807,,0.0019422795776316234,0.004482490661398643,0.0065580166042653815,0.010596000750361352,0.006442758947154762,0.015583856294599404,0.010921807032447346,0.0031365415652821475,0.004754361085980405,0.005840266462620219,0.02048533329182248,0.01700704834702052,0.01461293107887178,0.0010124603941900272,0.0038702740195009555,0.006265663644493366,0.00822725865729428,0.019178112861551192,0.005362299981958455,0.006830578390966616,0.0030414202084435463,0.005329631214942254,0.006488306325789651,0.009741617332538453,0.007566224158683739,0.0011004204241736423,0.006991319744857055,0.0024283603835035432,0.00774711430094216,0.0064304592551608815,0.004097902422403104,0.005491202690876137,0.00365395980401777,0.0043199900569252745,0.0034221266245115286,0.007508071323377691,0.004994319327764953,0.0504579505496927
6,0.006188604177895252,,0.0038276641744310067,0.004212123919120939,0.004785563171430196,0.00572765376979388,0.006036751407613968,0.01592057704142733,0.014875093630919588,0.0033620908954878803,0.004390601734198619,0.004529101060717495,0.020207197590343454,0.023992183896378867,0.013731356075451274,0.0020934226715741406,0.003828754125660681,0.005212788749922998,0.007569936397640933,0.022905988829465297,0.004005589085665624,0.008345554379780797,0.0038389910119174687,0.0047069348217226815,0.004980672466310832,0.008464651405279345,0.00635749974692504,0.0022230211257674324,0.007328803920571594,0.0021341892774370463,0.007970345701331554,0.004536839253082499,0.007792618131813385,0.0076782183023794935,0.0005730449059553949,0.005263799308929578,0.0073358046460132555,0.011888015096209358,0.009821998859747565,0.05489157423821121
7,0.005783372677072616,,0.007532643500492231,0.0064887307133621374,0.003752824281786423,0.00450440032781934,0.0061594786455778806,0.015981662726278534,0.019365791710944286,0.004574640098524677,0.0037827239131967157,0.00291456019695333,0.019682307373012006,0.031041347871527673,0.013034934875112023,0.004241124255529843,0.004705997162095712,0.0034167665628456363,0.006453935547138287,0.02675954233545872,0.0027994599657735074,0.010628553992747564,0.00382357535602353,0.0038321787566221233,0.003387798437081155,0.006142278429658175,0.004689026344213117,0.005559906931373771,0.009681627619812847,0.006339954763580918,0.010702544698847294,0.006277335764630798,0.011868364878034755,0.011021836517769702,0.0051723001047810704,0.011093122011562453,0.014550695327878229,0.01807817679159614,0.016178403435873623,0.059535196591268866
8,0.0045461268718616984,,0.012336986153448921,0.011162573744650715,0.006610622272439523,0.008566527670612164,0.006839703407164568,0.015616384719224219,0.024831376042255028,0.0071672550561029495,0.00384005881034697,0.0008005212030845059,0.019159616682574772,0.038711491970085984,0.012665885558123863,0.007173794431703515,0.007402018876331223,0.0011353289021048874,0.005294649335580124,0.031293311504025006,0.0018627284112741498,0.013908592114837817,0.002652975964163016,0.004447740120355552,0.003139424134511153,0.004374230559769771,0.0021172306926116945,0.01036845390103353,0.014121829513254896,0.01154913567451013,0.016361910197281886,0.011064834885661179,0.016226104422340886,0.015362244420601785,0.011635321122311706,0.019197466705061964,0.023024027818533306,0.025717426748952183,0.023270714210631503,0.06448422015627576
9,0.0025871963851720656,,0.01799637841662971,0.017344633239260006,0.011949270866036034,0.013825178406454568,0.008170879374157393,0.014220368494240604,0.029233379689794902,0.010626631980553905,0.00594837599516446,0.0022654411229465045,0.018628290848796487,0.04685765938530409,0.012711306303456724,0.010283199597273675,0.011001408308463518,0.003705186170754677,0.006778221270726143,0.03651369779666658,0.0028134067001370756,0.017713751581088462,0.002101884719713286,0.007117784004410276,0.006428417651991771,0.00444105101612431,0.0016344769258910489,0.016065991606562913,0.020065291648668198,0.017985876466429507,0.022646487032584834,0.017017039649809433,0.02081613813176335,0.02078838187716272,0.01956701144566133,0.028124644745956898,0.03242148893859764,0.03492782066244502,0.030597717167523956,0.06880936807793564
10,0.0016009749062408023,,0.024192022986317882,0.02440632896487717,0.01858147940039765,0.01930788444861501,0.010055404835197977,0.012199768610305766,0.03419078348287847,0.014592413900880096,0.009641970514868576,0.00610459118855162,0.01890630598254817,0.05427214256607401,0.01358490594476102,0.013546086821552335,0.015741896905286795,0.009131300685725898,0.010794081380805457,0.04087143336156753,0.005359078718037806,0.02222716183228888,0.004511173119214123,0.011044232375435215,0.010790651398349779,0.0073322801718381705,0.004678310593995972,0.022664106503926033,0.027281001360843646,0.02582547904861369,0.030917067326463855,0.02356640835237414,0.02585486498264477,0.027043871970532974,0.029026396919870204,0.03888543092562054,0.04302617725961978,0.04505277407949312,0.03852168822426185,0.07287029261539989
11,0.004702713644544673,,0.03070870802335905,0.03189243360286829,0.02631356771816153,0.025050338363666567,0.012539187441478417,0.009514713637809957,0.03954787938240141,0.019662983234652757,0.014170303615826111,0.010348847959220527,0.021147237510061378,0.06109677952647891,0.015358232147864578,0.017658487739286143,0.021328474964548552,0.014990690883773212,0.016369991825517856,0.045091505328909584,0.007766877232898187,0.026566975766497587,0.007403175119916951,0.017002969746339802,0.01566439741172478,0.011385104709024853,0.008156635453377015,0.029961311460960753,0.03500206134115137,0.03420293615311993,0.039870941921705205,0.030874776421464235,0.029749005564701555,0.03334245502991172,0.03921475208300705,0.04934285626480354,0.05446526874564657,0.054718962271488474,0.04656735014660597,0.07798209184266858
12,0.008539974469747911,,0.03720927759589316,0.03936749805123456,0.03418709392738024,0.03145603732798435,0.01574888060883905,0.00639010489333036,0.044211440309902345,0.02467843684152504,0.01880407607623925,0.015446032101072746,0.025212999656635367,0.06717224968655504,0.01772777853415239,0.023036820127698324,0.026741153789226247,0.021292082779185338,0.022783244084112066,0.04859463046633052,0.010387918941365502,0.030177557258292888,0.011324532778707304,0.02327857408015836,0.020544504953919497,0.01651286563028534,0.012072979241994158,0.037507434958454045,0.04298330957398859,0.04257465906003353,0.04842983019944539,0.03895175833915082,0.03455374129955325,0.03965766619178222,0.049250171072096095,0.06110596740454315,0.06617727206501114,0.06477300749259352,0.05427601570121139,0.08130810054599097
13,0.013786965219394421,,0.042581078073305384,0.045832216452840434,0.04207714176484966,0.03831359421233125,0.019454526570345618,0.0037395219883690723,0.04740608195779082,0.029182654144945194,0.023572015177831935,0.020697968399095903,0.030491764707899605,0.07235988498724637,0.020455237226886837,0.028549166531631524,0.032508751678300224,0.028169093930464507,0.029633840052505567,0.05275535859667584,0.013838873687318301,0.035090284484116704,0.016344002432358652,0.027880697541529047,0.02605950338306948,0.022396883609380993,0.015579650709580879,0.04501339480380122,0.05147911115418028,0.050844313013183956,0.05619991119285801,0.04637989735297672,0.03971996482599809,0.04611039746369343,0.05919586508360577,0.07329689753718112,0.07742101278809076,0.07407122915581954,0.06203284873698014,0.0838105786639994
14,0.017420224128664848,,0.04721359755610941,0.05106431831289305,0.049467965224978025,0.04225628727435514,0.023269925556712097,0.004749491775315711,0.049140563650475616,0.03273956240999451,0.028348698833898546,0.02575536745983193,0.03701783958677023,0.07533100464966333,0.023684042648645303,0.03289353728716885,0.03666987398882723,0.03513894094319366,0.03662166819142243,0.056817498799638065,0.016012383488195815,0.03930509749963762,0.021491165856377194,0.03341245712113986,0.032401729033030666,0.02717908644778118,0.01916911556462962,0.05187649888794098,0.05979619915759328,0.05921607753047255,0.06367009375174384,0.05326415075450766,0.04426764854161765,0.05264059670871661,0.06946007351859428,0.08362998481772757,0.08739631475615635,0.082362116839407,0.06952601301067383,0.08659821725113385
15,0.02128901850253089,,0.050991935851530966,0.056157153358584344,0.05559171966479186,0.04602168939715025,0.026945802157347848,0.008850166310705275,0.05021468889715726,0.03561201435433212,0.0327429867163054,0.02994036937868308,0.04383152270448834,0.07693229413460012,0.02805085762269551,0.03631458932250886,0.040402847332758965,0.04044203696683914,0.04352794635774647,0.059056952872126624,0.019236268206502236,0.04133357251062868,0.025792509166177074,0.03765070203256915,0.037116101201351726,0.031840955338906005,0.023446429433903956,0.05826920669199173,0.06604281064172289,0.06570304487202516,0.07083747246319294,0.05921223766680336,0.048459683216420475,0.05888125627491918,0.07926879880984072,0.09231462369751875,0.09768041201697421,0.08977462425994279,0.07494932412979123,0.0887313549170443
16,0.025891571344406374,,0.05349951849683282,0.05991412951027033,0.06014388205174527,0.05073174641928914,0.030325255751568192,0.01400983527106684,0.05060487344053058,0.037994940808091536,0.036329156226222674,0.032815626606554515,0.05251556002469206,0.07743356739391602,0.032426120836708164,0.039140588233127216,0.04303656005598423,0.04320344648582317,0.048669189989566555,0.05873010214328476,0.021109334274206082,0.04330736808025782,0.02945512277257637,0.040833375271957545,0.0405781992981302,0.03647460275491,0.024778451137075476,0.06366966945944469,0.07161843827319855,0.07094092678380007,0.07617872264099225,0.06388645814123159,0.051999252964087035,0.06459279486182859,0.08734727622884936,0.10062979594722325,0.10542846853157622,0.09591984481296181,0.07973129532428447,0.08941409905324768
17,0.029575013303129703,,0.05454830517360864,0.061022800324759055,0.06343043182004938,0.0542699946886962,0.03300632300382824,0.019301129535831206,0.04987087300024364,0.03843499640250687,0.03854521031062859,0.035808699538267014,0.06020972699000677,0.07567666442869272,0.03473171625437643,0.040829729602694584,0.0451952137849284,0.04643283164663386,0.052885402588257184,0.05768538254928049,0.02260647617419289,0.04485117993803749,0.033075536252413454,0.043098036389057556,0.04458978449032486,0.03889054098738773,0.026995662631201973,0.06812034911986678,0.07551746904136326,0.07570603021110045,0.07939368742263875,0.06770536553356135,0.05580338967785153,0.06959408783599237,0.09455628817256509,0.10724806354778851,0.11067114153755037,0.09998736347109913,0.08362972327227804,0.08979150963475965
18,0.03137667260720531,,0.05409008410769242,0.060623375549652,0.06461577820274163,0.0567058387444841,0.03521805604641418,0.023992612231557214,0.04837548082841934,0.0392467033556895,0.03963010220027673,0.037779281691538116,0.06638543461099597,0.0720643138576212,0.03592327693737307,0.041307669884365315,0.046826360362934874,0.04947634329982899,0.05645623925230916,0.05618238063199969,0.02433089815883259,0.04494263742335254,0.03609760547059411,0.04344522394928891,0.04530898371191841,0.038370283577882795,0.028784118927381648,0.07134453124565601,0.07782285073977432,0.07886968631475891,0.08161508633765326,0.07030932251049538,0.05836974064078038,0.07324036945216703,0.1006321755744923,0.11097444651077243,0.11451332766674871,0.10110296361623461,0.08664045442448966,0.08991119862541039
19,0.031766668152170184,,0.052587334754226354,0.05882789094653444,0.06441802810394556,0.057601981974567396,0.03708580114148938,0.02776129234250207,0.04612413576820389,0.03841697739880394,0.03983426883948914,0.03938231309663469,0.07173282152527863,0.06698797107347292,0.03691141337673554,0.042589985328578286,0.04687360868620096,0.04939353438096339,0.05813040729024087,0.05640882713912669,0.02517374222320424,0.044630732323609285,0.03765024002688125,0.045155656990410846,0.04485958311829491,0.03899828526891443,0.030457449857673808,0.07394827812202566,0.07847646337321315,0.07961317789456185,0.08186303163708711,0.07143336849838759,0.06076934672402243,0.07603995436327232,0.10465628128453595,0.11302684912474745,0.1163853296887847,0.10231138456613098,0.08774579148917326,0.08733755420139377
