4	4	5	5	5	5	5	 6	 6	 6	 6	 7	 7	 7	 7	 7	 8	 8	 8	 8	 8	 9	 9	 9	 9	10	10	10	10	10	11	11	
3	4	4	4	4	4	5	5	5	5	5	 6	 6	 6	 6	 6	 7	 7	 7	 7	 8	 8	 8	 8	 8	 9	 9	 9	 9	 9	10	10	
3	3	3	3	3	4	4	4	4	4	5	5	5	5	5	 6	 6	 6	 6	 6	 7	 7	 7	 7	 7	 8	 8	 8	 8	 8	 9	 9	
2	2	2	2	3	3	3	3	3	4	4	4	4	4	5	5	5	5	5	 6	 6	 6	 6	 6	 7	 7	 7	 7	 7	 8	 8	 8	
1	1	1	1	2	2	2	2	2	3	3	3	3	3	4	4	4	4	4	5	5	5	5	5	 6	 6	 6	 6	 6	 7	 7	 7	
0	0	0	1	1	1	1	1	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	5	5	5	5	5	 6	 6	 6	
11	11	0	0	0	0	0	1	1	1	1	1	1	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	5	5	5	
10	11	11	11	11	11	0	0	0	0	0	0	1	1	1	1	1	1	2	2	2	2	2	3	3	3	3	3	3	4	4	4	
10	10	10	10	10	11	11	11	11	11	11	0	0	0	0	0	0	1	1	1	1	1	1	2	2	2	2	2	2	3	3	3	
 9	 9	 9	 9	10	10	10	10	10	10	11	11	11	11	11	11	11	0	0	0	0	0	0	1	1	1	1	1	1	2	2	2	
 8	 8	 8	 9	 9	 9	 9	 9	 9	 9	10	10	10	10	10	10	11	11	11	11	11	11	0	0	0	0	0	0	0	1	1	1	
 7	 7	 8	 8	 8	 8	 8	 8	 8	 9	 9	 9	 9	 9	 9	10	10	10	10	10	10	10	11	11	11	11	11	11	11	0	0	0	
 6	 7	 7	 7	 7	 7	 7	 7	 8	 8	 8	 8	 8	 8	 8	 9	 9	 9	 9	 9	 9	 9	10	10	10	10	10	10	10	11	11	11	
